Designator,Mid X,Mid Y,Layer,Rotation
5V_CTRL_LAZERS,109.86,78.74,Top,90.0
C1,94.62, 8.89,Top,0.0
C2,34.29,20.32,Top,90.0
C3,72.39,43.18,Top,270.0
C4,36.83,20.32,Top,90.0
C5,24.13,20.32,Top,270.0
C6,36.83,29.85,Top,90.0
C7,52.71,110.49,Top,270.0
C8,76.20,55.25,Top,270.0
C9,20.96,20.32,Top,270.0
C10,17.78,20.32,Top,270.0
C11,20.96,29.85,Top,270.0
C12,17.78,29.85,Top,270.0
C13,103.51,121.92,Top,90.0
C14,114.30,125.10,Top,90.0
C15,97.79,120.02,Top,270.0
C16,66.67,111.76,Top,270.0
C17,74.30,111.76,Top,270.0
C18,103.51,111.13,Top,90.0
C19,97.79,109.22,Top,270.0
C20,103.51,102.87,Top,90.0
C21,97.79,100.97,Top,270.0
C22,103.51,91.44,Top,90.0
C23,97.79,89.54,Top,270.0
C24,45.09,49.53,Top,90.0
C25,47.63,50.16,Top,90.0
C26,53.98,49.53,Top,90.0
C27,56.52,50.16,Top,90.0
C28,51.44, 8.26,Top,270.0
C29,71.12,146.69,Top,90.0
C30,45.72,72.39,Top,90.0
C31,48.26,73.03,Top,90.0
C32,105.41,142.24,Top,90.0
C33,114.30,62.87,Top,90.0
C34,56.52,20.32,Top,90.0
C35,34.29,29.85,Top,90.0
C36,24.13,29.85,Top,270.0
C37,46.36,20.32,Top,270.0
C89,36.83, 8.26,Top,270.0
D1,57.79,110.49,Top,90.0
D2,50.80,125.10,Top,270.0
D3,50.80,95.89,Top,270.0
D6,87.00,121.92,Top,270.0
D7,87.00,111.13,Top,270.0
D8,87.00,102.87,Top,270.0
D9,87.00,91.44,Top,270.0
D10,50.80,143.51,Top,0.0
D11,50.80,151.13,Top,0.0
D12,19.05,71.12,Top,90.0
D13,19.05,61.60,Top,90.0
D14,19.05,51.44,Top,90.0
D15,19.05,41.27,Top,90.0
D16,22.23,39.37,Top,270.0
D17,22.23,49.53,Top,270.0
D18,22.23,59.69,Top,270.0
D19,22.23,69.22,Top,270.0
D91,20.32, 9.53,Top,0.0
D92,20.32, 6.99,Top,0.0
D93,20.32, 4.45,Top,0.0
D94,20.32, 1.91,Top,0.0
FIRE, 7.62,57.15,Top,90.0
I2C_2,109.86,39.37,Top,90.0
IC1,110.49,125.10,Top,180.0
IC2,29.21,20.32,Top,270.0
IC3,74.30,99.70,Top,0.0
IC4,74.30,118.11,Top,0.0
IC5,46.36,40.01,Top,180.0
IC6,55.25,40.01,Top,180.0
IC7,46.36,62.87,Top,180.0
IC8,110.49,62.87,Top,180.0
IC9,51.44,20.32,Top,0.0
IC22,29.21,29.85,Top,0.0
JP1,98.43,156.84,Top,0.0
JP2,100.97,15.24,Top,0.0
JTAG,109.86,21.59,Top,270.0
K1,40.64,121.92,Top,90.0
K2,40.64,93.34,Top,90.0
LED_ARRAY,110.49,142.24,Top,90.0
NEBULA_A,74.30,64.77,Top,90.0
P1,109.86,53.98,Top,90.0
POWER_IN, 7.62,24.13,Top,90.0
Q1,28.58,72.39,Top,90.0
Q2,28.58,62.87,Top,90.0
Q3,28.58,52.71,Top,90.0
Q4,28.58,42.55,Top,90.0
R1,114.30,117.48,Top,270.0
R2,70.48,125.73,Top,270.0
R3,50.80,91.44,Top,270.0
R4,50.80,121.29,Top,270.0
R5,114.30,55.25,Top,270.0
R7,60.33,110.49,Top,270.0
R8,55.25,110.49,Top,270.0
R9,100.33,120.02,Top,90.0
R10,43.18,134.62,Top,90.0
R11,40.01,134.62,Top,270.0
R12,36.83,134.62,Top,90.0
R13,33.66,134.62,Top,270.0
R14,100.33,123.83,Top,90.0
R15,97.79,123.83,Top,90.0
R16,89.54,121.92,Top,90.0
R17,84.45,121.92,Top,90.0
R18,81.92,121.92,Top,270.0
R19,69.22,111.76,Top,90.0
R20,71.76,111.76,Top,270.0
R21,71.76,92.71,Top,90.0
R22,100.33,109.22,Top,90.0
R23,100.33,113.03,Top,90.0
R24,97.79,113.03,Top,90.0
R25,89.54,111.13,Top,90.0
R26,60.96,11.43,Top,180.0
R27,60.96,19.05,Top,180.0
R28,84.45,111.13,Top,90.0
R29,81.92,111.13,Top,270.0
R30,75.56,92.71,Top,90.0
R31,100.33,100.97,Top,90.0
R32,100.33,104.78,Top,90.0
R33,97.79,104.78,Top,90.0
R34,89.54,102.87,Top,90.0
R35,84.45,102.87,Top,90.0
R36,81.92,102.87,Top,270.0
R37,75.56,106.68,Top,270.0
R38,100.33,89.54,Top,90.0
R39,100.33,93.34,Top,90.0
R40,97.79,93.34,Top,90.0
R41,89.54,91.44,Top,90.0
R42,84.45,91.44,Top,90.0
R43,81.92,91.44,Top,270.0
R44,71.76,106.68,Top,270.0
R45,94.62,26.67,Top,180.0
R46,94.62,29.21,Top,180.0
R47,94.62,31.75,Top,180.0
R48,94.62,21.59,Top,180.0
R49,94.62,19.05,Top,180.0
R50,45.09,53.98,Top,270.0
R51,47.63,53.98,Top,90.0
R52,38.10,43.82,Top,90.0
R53,53.98,53.98,Top,270.0
R54,56.52,53.98,Top,90.0
R55,36.83,146.69,Top,0.0
R56,27.30,146.69,Top,0.0
R57,18.41,146.69,Top,0.0
R58,45.72,76.84,Top,270.0
R59,48.26,76.84,Top,90.0
R60,15.88,72.39,Top,90.0
R61,15.88,62.87,Top,90.0
R62,15.88,52.71,Top,90.0
R63,15.88,43.18,Top,90.0
R130,16.51, 9.53,Top,180.0
R131,16.51, 6.99,Top,180.0
R132,16.51, 4.45,Top,180.0
R139,16.51, 1.91,Top,180.0
STAR_INPUT,109.86,111.13,Top,90.0
T1,93.34,121.92,Top,180.0
T2,93.34,111.13,Top,180.0
T3,93.34,102.87,Top,180.0
T4,93.34,91.44,Top,180.0
U$1,78.74,21.59,Top,270.0
U1,55.25,115.57,Top,0.0
ULN1,66.67,80.01,Top,0.0
X1, 6.99,146.69,Top,90.0
X3, 6.99,123.19,Top,90.0
